repo_path	expected	expected_source	expected_detail	expected_shape
unison-src/errors/check-for-regressions/caseguard.u	failure	reference-parser	This looks like the start of an expression here       1 | match 3 with  but at the file top-level, I expect one of the following:    - A binding, like match = 42 OR                     match : Nat                     match = 42   - A watch expression, like > match + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/casepattern.u	failure	reference-parser	This looks like the start of an expression here       1 | match 3 with  but at the file top-level, I expect one of the following:    - A binding, like match = 42 OR                     match : Nat                     match = 42   - A watch expression, like > match + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/ifcond.u	failure	reference-parser	This looks like the start of an expression here       1 | if 3 then 4 else 5  but at the file top-level, I expect one of the following:    - A binding, like if = 42 OR                     if : Nat                     if = 42   - A watch expression, like > if + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/ifelse.u	failure	reference-parser	This looks like the start of an expression here       1 | if true then 4 else "Surprise!"  but at the file top-level, I expect one of the following:    - A binding, like if = 42 OR                     if : Nat                     if = 42   - A watch expression, like > if + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/lens.u	failure	reference-parser	This looks like the start of an expression here       9 | setA (Foo "hello" 3) (Some 7)  but at the file top-level, I expect one of the following:    - A binding, like setA = 42 OR                     setA : Nat                     setA = 42   - A watch expression, like > setA + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/not-and.u	failure	reference-parser	This looks like the start of an expression here       3 | and (notid 3) true  but at the file top-level, I expect one of the following:    - A binding, like and = 42 OR                     and : Nat                     and = 42   - A watch expression, like > and + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/not-and0.u	failure	reference-parser	This looks like the start of an expression here       1 | and (3 : Boolean) true  but at the file top-level, I expect one of the following:    - A binding, like and = 42 OR                     and : Nat                     and = 42   - A watch expression, like > and + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/not-caseguard.u	failure	reference-parser	This looks like the start of an expression here       3 | match 3 with  but at the file top-level, I expect one of the following:    - A binding, like match = 42 OR                     match : Nat                     match = 42   - A watch expression, like > match + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/not-caseguard2.u	failure	reference-parser	This looks like the start of an expression here       1 | match 3 with  but at the file top-level, I expect one of the following:    - A binding, like match = 42 OR                     match : Nat                     match = 42   - A watch expression, like > match + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/not-or.u	failure	reference-parser	This looks like the start of an expression here       1 | or (3 : Boolean) true  but at the file top-level, I expect one of the following:    - A binding, like or = 42 OR                     or : Nat                     or = 42   - A watch expression, like > or + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/not-vector.u	failure	reference-parser	This looks like the start of an expression here       1 | [1, +1 : Nat]  but at the file top-level, I expect one of the following:    - A binding, like [ = 42 OR                     [ : Nat                     [ = 42   - A watch expression, like > [ + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/or.u	failure	reference-parser	This looks like the start of an expression here       1 | or true 3  but at the file top-level, I expect one of the following:    - A binding, like or = 42 OR                     or : Nat                     or = 42   - A watch expression, like > or + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/vector.u	failure	reference-parser	This looks like the start of an expression here       1 | [1, +1]  but at the file top-level, I expect one of the following:    - A binding, like [ = 42 OR                     [ : Nat                     [ = 42   - A watch expression, like > [ + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/compiler-bug.u	success	reference-parser		terms=User "Foo.y",User "a",User "x";types=;abilities=
unison-src/errors/cyclic-unguarded.u	success	reference-parser		terms=User "x",User "y";types=;abilities=
unison-src/errors/effect-inference1.u	failure	reference-parser	This looks like the start of an expression here       9 | bar foo 3  but at the file top-level, I expect one of the following:    - A binding, like bar = 42 OR                     bar : Nat                     bar = 42   - A watch expression, like > bar + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/empty-block.u	failure	reference-parser	I expected a block after this (in red), but there wasn't one.  Maybe check your indentation:     1 | foo = 	
unison-src/errors/ex1.u	failure	reference-parser	I got confused here:      8 | "hello" `Sequence.cons` foo (Some 3)   I was surprised to find a . here. I was expecting one of these instead:  * end of input * identifier (ex: abba1, snake_case, .foo.bar#xyz, .foo.++#xyz, or 🌻)	
unison-src/errors/fix745.u	success	reference-parser		terms=User "noGood",User "ok";types=;abilities=User "A",User "B"
unison-src/errors/handle-inference.u	failure	reference-parser	This looks like the start of an expression here      22 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/id.u	failure	reference-parser	This looks like the start of an expression here       3 | (id 42 : Text)  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/io-effect.u	failure	reference-parser	This looks like the start of an expression here       8 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/io-state1.u	failure	reference-parser	This looks like the start of an expression here      17 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/map-traverse3.u	failure	reference-parser	This looks like the start of an expression here      26 | pureMap  but at the file top-level, I expect one of the following:    - A binding, like pureMap = 42 OR                     pureMap : Nat                     pureMap = 42   - A watch expression, like > pureMap + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/mismatched-braces.u	failure	reference-parser	I found a closing '}' here without a matching '{'.      1 | } 	
unison-src/errors/poor-error-message/ability-check-fail-by-calling-wrong-function.u	failure	reference-parser	This looks like the start of an expression here       6 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/poor-error-message/doesnt-match-annotation.u	failure	reference-parser	This looks like the start of an expression here       4 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/poor-error-message/function-calls.u	failure	reference-parser	This looks like the start of an expression here       4 | f1 (3 Nat.+ 3)  but at the file top-level, I expect one of the following:    - A binding, like f1 = 42 OR                     f1 : Nat                     f1 = 42   - A watch expression, like > f1 + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/poor-error-message/function-calls1.u	failure	reference-parser	This looks like the start of an expression here       4 | f1 (3 Nat.+ 3)  but at the file top-level, I expect one of the following:    - A binding, like f1 = 42 OR                     f1 : Nat                     f1 = 42   - A watch expression, like > f1 + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/poor-error-message/function-calls2.u	failure	reference-parser	This looks like the start of an expression here       7 | f1 (id 3)  but at the file top-level, I expect one of the following:    - A binding, like f1 = 42 OR                     f1 : Nat                     f1 = 42   - A watch expression, like > f1 + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/poor-error-message/function-calls3.u	failure	reference-parser	This looks like the start of an expression here      10 | id5 1 +2 3 4 5  but at the file top-level, I expect one of the following:    - A binding, like id5 = 42 OR                     id5 : Nat                     id5 = 42   - A watch expression, like > id5 + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/poor-error-message/handle.u	failure	reference-parser	I got confused here:     41 |   I was surprised to find an end of section here.	
unison-src/errors/poor-error-message/handler-ex.u	failure	reference-parser	This looks like the start of an expression here      24 | supply  but at the file top-level, I expect one of the following:    - A binding, like supply = 42 OR                     supply : Nat                     supply = 42   - A watch expression, like > supply + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/poor-error-message/mismatched-case-result-types.u	failure	reference-parser	This looks like the start of an expression here       3 | match Optional.Some 3 with  but at the file top-level, I expect one of the following:    - A binding, like match = 42 OR                     match : Nat                     match = 42   - A watch expression, like > match + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/poor-error-message/notaguard.u	failure	reference-parser	This looks like the start of an expression here      21 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/poor-error-message/overapplied-data-constructor-loc.u	failure	reference-parser	This looks like the start of an expression here       9 | match Board X O X  but at the file top-level, I expect one of the following:    - A binding, like match = 42 OR                     match : Nat                     match = 42   - A watch expression, like > match + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/poor-error-message/pattern-case-location.u	success	reference-parser		terms=User "foo";types=User "Bar",User "Foo";abilities=
unison-src/errors/poor-error-message/pattern-matching-1.u	failure	reference-parser	This looks like the start of an expression here      28 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/poor-error-message/tdnr-demo.u	failure	reference-parser	This looks like the start of an expression here      20 | pseudo-Stream : Sequence Nat  but at the file top-level, I expect one of the following:    - A binding, like pseudo = 42 OR                     pseudo : Nat                     pseudo = 42   - A watch expression, like > pseudo + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/rank2a.u	success	reference-parser		terms=User "rank2a";types=;abilities=
unison-src/errors/seq-concat-constant-length.u	success	reference-parser		terms=User "test";types=;abilities=
unison-src/errors/state4.u	failure	reference-parser	This looks like the start of an expression here      12 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/tdnr.u	failure	reference-parser	This looks like the start of an expression here       3 | foo  but at the file top-level, I expect one of the following:    - A binding, like foo = 42 OR                     foo : Nat                     foo = 42   - A watch expression, like > foo + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/tdnr2.u	failure	reference-parser	This looks like the start of an expression here       1 | 2.0 + 4  but at the file top-level, I expect one of the following:    - A binding, like 2.0 = 42 OR                     2.0 : Nat                     2.0 = 42   - A watch expression, like > 2.0 + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/tdnr3.u	success	reference-parser		terms=User "Foo.z",User "a",User "x";types=;abilities=
unison-src/errors/term-functor-inspired/effect1.u	failure	reference-parser	This looks like the start of an expression here       9 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/term-functor-inspired/if-body-mismatch.u	failure	reference-parser	This looks like the start of an expression here       1 | if true  but at the file top-level, I expect one of the following:    - A binding, like if = 42 OR                     if : Nat                     if = 42   - A watch expression, like > if + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/term-functor-inspired/if-cond-not-bool.u	failure	reference-parser	This looks like the start of an expression here       1 | if "true" then 1 else 1  but at the file top-level, I expect one of the following:    - A binding, like if = 42 OR                     if : Nat                     if = 42   - A watch expression, like > if + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/term-functor-inspired/mismatched-case-result-types.u	failure	reference-parser	This looks like the start of an expression here       3 | match Optional.Some 3 with  but at the file top-level, I expect one of the following:    - A binding, like match = 42 OR                     match : Nat                     match = 42   - A watch expression, like > match + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-apply.u	failure	reference-parser	This looks like the start of an expression here      15 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-functor-inspired/app2.u	failure	reference-parser	This looks like the start of an expression here       4 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-functor-inspired/arrow1.u	failure	reference-parser	This looks like the start of an expression here       3 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-functor-inspired/effect2.u	failure	reference-parser	This looks like the start of an expression here      11 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-functor-inspired/forall-arrow.u	failure	reference-parser	This looks like the start of an expression here       3 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-functor-inspired/forall-arrow2.u	failure	reference-parser	This looks like the start of an expression here       4 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-functor-inspired/forall-arrow3.u	failure	reference-parser	This looks like the start of an expression here       4 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-functor-inspired/parens.u	failure	reference-parser	This looks like the start of an expression here       4 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-functor-inspired/subtuple.u	failure	reference-parser	This looks like the start of an expression here       5 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-functor-inspired/synthesizeApp.u	failure	reference-parser	This looks like the start of an expression here       4 | foo +1 "hi"  but at the file top-level, I expect one of the following:    - A binding, like foo = 42 OR                     foo : Nat                     foo = 42   - A watch expression, like > foo + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-functor-inspired/tuple.u	failure	reference-parser	This looks like the start of an expression here       4 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-functor-inspired/tuple2.u	failure	reference-parser	This looks like the start of an expression here       3 | y  but at the file top-level, I expect one of the following:    - A binding, like y = 42 OR                     y : Nat                     y = 42   - A watch expression, like > y + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/type-functor-inspired/unit.u	failure	reference-parser	This looks like the start of an expression here       3 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/unexpected-loop.u	failure	reference-parser	This looks like the start of an expression here       9 | (bork : Nat)  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/unresolved-symbol-1.u	failure	reference-parser	This looks like the start of an expression here       1 | let  but at the file top-level, I expect one of the following:    - A binding, like let = 42 OR                     let : Nat                     let = 42   - A watch expression, like > let + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/unsound-cont.u	failure	reference-parser	This looks like the start of an expression here      12 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/example-errors.u	success	reference-parser		terms=User "ex1",User "ex2",User "ex3",User "ex4";types=;abilities=
unison-src/parser-tests/empty-match-list.u	failure	reference-parser	I got confused here:      3 | bar = 3   I was surprised to find a = here. I was expecting one of these instead:  * "," * @ * blank * case match * false * pattern guard * true	
unison-src/parser-tests/if-without-condition.u	failure	reference-parser	I expected a block after this (in red), but there wasn't one.  Maybe check your indentation:     1 | foo = if then 4 else 8 	
unison-src/tests/324.u	success	reference-parser		terms=User "foo";types=;abilities=
unison-src/tests/514.u	success	reference-parser		terms=User "idInt",User "idNat",User "idPoly",User "idPoly2";types=;abilities=
unison-src/tests/595.u	success	reference-parser		terms=User "any";types=User "Any";abilities=
unison-src/tests/868.u	success	reference-parser		terms=User "broken";types=User "Choice",User "Wrapper";abilities=
unison-src/tests/a-tale-of-two-optionals.u	success	reference-parser		terms=User "Optional.isEmpty",User "increment",User "|>";types=User "Optional";abilities=
unison-src/tests/ability-keyword.u	success	reference-parser		terms=User "x";types=;abilities=User "Foo"
unison-src/tests/abort.u	success	reference-parser		terms=User "bork",User "eff",User "heff",User "hudy";types=;abilities=User "Abort"
unison-src/tests/ask-inferred.u	success	reference-parser		terms=User "x",User "x2",User "x3",User "y",User "y2";types=;abilities=User "Ask",User "AskT",User "AskU"
unison-src/tests/boolean-ops-in-sequence.u	success	reference-parser		terms=User "test";types=;abilities=
unison-src/tests/builtin-arity-0-evaluation.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/caseguard.u	success	reference-parser		terms=User "f";types=;abilities=
unison-src/tests/cce.u	success	reference-parser		terms=User "Future.fromThunk",User "List.map",User "Monoid.op",User "Monoid.orElse",User "Monoid.zero",User "Node.increment",User "Remote.forkAt",User "Remote.runLocal",User "dmap",User "dmapReduce",User "dreduce",User "dsort",User "force",User "merge",User "sort";types=User "Future",User "Monoid",User "Node";abilities=User "Remote"
unison-src/tests/compose-inference.u	success	reference-parser		terms=User "compose";types=;abilities=
unison-src/tests/console.u	success	reference-parser		terms=User "++",User "fst",User "simulate",User "snd",User "state",User "x";types=;abilities=User "Console",User "State"
unison-src/tests/console1.u	success	reference-parser		terms=User "e",User "fst",User "simulate",User "snd";types=;abilities=User "Console",User "State"
unison-src/tests/data-references-builtins.u	success	reference-parser		terms=;types=User "StringOrInt";abilities=
unison-src/tests/delay.u	success	reference-parser		terms=User "+",User "woot",User "woot2",User "woot3",User "woot4",User "woot4Usage",User "woot4Usage2";types=User "Foo";abilities=
unison-src/tests/delay_parse.u	success	reference-parser		terms=User "a",User "b",User "c",User "d";types=;abilities=User "T"
unison-src/tests/effect-instantiation.u	success	reference-parser		terms=User "blah";types=;abilities=User "Foo"
unison-src/tests/effect-instantiation2.u	success	reference-parser		terms=User "woot";types=;abilities=User "Hi"
unison-src/tests/effect1.u	success	reference-parser		terms=User "eff";types=;abilities=User "Abort"
unison-src/tests/empty-above-the-fold.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/fix1185.u	success	reference-parser		terms=User "List.map",User "List.map2",User "ex",User "ex2";types=;abilities=User "Zonk"
unison-src/tests/fix1640.u	success	reference-parser		terms=User "RBTree.isRed",User "RBTree.isRed1",User "isRed",User "thisIsTotallyLegit";types=User "Color",User "RBTree";abilities=
unison-src/tests/fix1695.u	success	reference-parser		terms=User "f";types=;abilities=User "G"
unison-src/tests/fix1779.u	success	reference-parser		terms=User "run",User "run'";types=User "R";abilities=User "S"
unison-src/tests/fix528.u	success	reference-parser		terms=User "ex1",User "ex2",User "|>";types=User "Woot";abilities=
unison-src/tests/fix739.u	success	reference-parser		terms=User "MonoidRec.combine",User "MonoidRec.combine.modify",User "MonoidRec.combine.set",User "MonoidRec.empty",User "MonoidRec.empty.modify",User "MonoidRec.empty.set";types=User "MonoidRec";abilities=
unison-src/tests/force.u	success	reference-parser		terms=User "ex",User "force";types=;abilities=User "Woot"
unison-src/tests/guard-boolean-operators.u	success	reference-parser		terms=User "f",User "g";types=User "Foo";abilities=
unison-src/tests/handler-stacking.u	success	reference-parser		terms=User "main",User "replicate",User "stateHandler",User "writerHandler";types=;abilities=User "State",User "Writer"
unison-src/tests/hang.u	success	reference-parser		terms=User "List.map",User "Node.increment",User "Remote.forkAt",User "Remote.runLocal",User "dsort2",User "force",User "halve",User "isEmpty",User "merge";types=User "Future",User "Node";abilities=User "Remote"
unison-src/tests/id.u	success	reference-parser		terms=User "id";types=;abilities=
unison-src/tests/if.u	success	reference-parser		terms=User "foo";types=;abilities=
unison-src/tests/imports.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/imports2.u	success	reference-parser		terms=User "Optional.orElse";types=;abilities=
